french,german
LimitesDeLaForet_V1_2.Genre_LimiteForestiere,Waldgrenzen_V1_2.Art_Waldgrenze
NoOfficiel,OffizielleNr
OrganismeResponsable,zustaendigeStelle
Numero,Hausnr
JeuDeDonnees,Datenbestand
LimitesDeLaForet_V1_2.DispositionsJuridiques.Document,Waldgrenzen_V1_2.Rechtsvorschriften.Dokument
propre_a_la_construction,baureif
DegreDeSensibiliteAuBruit_V1_2,Laermempfindlichkeitsstufen_V1_2
PlansDAffectation_V1_2.MultilingualBlob,Nutzungsplanung_V1_2.MultilingualBlob
Contenu_contraignant,Nutzungsplanfestlegung
DistancesParRapportALaForet_V1_2.GeodonneesDeBase,Waldabstandslinien_V1_2.Geobasisdaten
Etat_de_l_equipement_MN03_V1,Stand_der_Erschliessung_LV03_V1
GuichetEnLigne,AmtImWeb
LimitesDeLaForet_V1_2.StatutJuridique,Waldgrenzen_V1_2.RechtsStatus
DS_II,ES_II
OrganismeResponsable,ZustaendigeStelle
ZoneReservee,Planungszone
DateDeLivraison,Lieferdatum
PlansDAffectation_V1_2.DispositionsJuridiques,Nutzungsplanung_V1_2.Rechtsvorschriften
EtatDeLEquipement,Stand_der_Erschliessung
ForceObligatoire,Verbindlichkeit
propre_a_la_construction_5_ans,in_5_Jahren_baureif
Zones_reservees_V1_1.LocalisedBlob,Planungszonen_V1_1.LocalisedBlob
Degre,Empfindlichkeitsstufe
LimitesDeLaForet_V1_2.DispositionsJuridiques,Waldgrenzen_V1_2.Rechtsvorschriften
OrgResp_Donnees,zustStelle_Daten
publieDepuis,publiziertAb
LimitesDeLaForet_V1_2,Waldgrenzen_V1_2
LimitesDeLaForet_V1_2.MultilingualBlob,Waldgrenzen_V1_2.MultilingualBlob
Zones_reservees_V1_1.TypeDocument,Planungszonen_V1_1.DokumentTyp
Etat_equipement,Stand_Erschliessung
DistancesParRapportALaForet_V1_2.StatutJuridique,Waldabstandslinien_V1_2.RechtsStatus
LimitesDeLaForet_V1_2.GeodonneesDeBase,Waldgrenzen_V1_2.Geobasisdaten
Geometrie_Document,Geometrie_Dokument
Etat_de_l_equipement_MN95_V1.GeodonneesDeBase,Stand_der_Erschliessung_LV95_V1.Geobasisdaten
Type,Typ
MultiLingualUri,MultilingualUri
DistancesParRapportALaForet_V1_2.ForceObligatoire,Waldabstandslinien_V1_2.Verbindlichkeit
LimiteDeLaForet_Ligne,Waldgrenze_Linie
equipe,erschlossen
Titre,Titel
Ligne1,Zeile1
basketRef=PlansDAffectation_V1_2.GeodonneesDeBase,basketRef=Nutzungsplanung_V1_2.Geobasisdaten
basketRef=DegreDeSensibiliteAuBruit_V1_2.GeodonneesDeBase,basketRef=Laermempfindlichkeitsstufen_V1_2.Geobasisdaten
basketRef=DistancesParRapportALaForet_V1_2.GeodonneesDeBase,basketRef=Waldabstandslinien_V1_2.Geobasisdaten
Rue,Strasse
Contenu_dAideALaMiseEnOeuvre,Wegleitend
Contenu_indicatif,Hinweisend
LF,WG
Etat_de_l_equipement_MN03_V1.GeodonneesDeBase,Stand_der_Erschliessung_LV03_V1.Geobasisdaten
PlansDAffectation_V1_2.MultilingualUri,Nutzungsplanung_V1_2.MultilingualUri
AffectationPrimaire_SurfaceDeZones,Grundnutzung_Zonenflaeche
DegreDeSensibiliteAuBruit_V1_2.DS,Laermempfindlichkeitsstufen_V1_2.ES
PlansDAffectation_V1_2.SurfaceUnique,Nutzungsplanung_V1_2.Einzelflaeche
TypeZR_Document,TypPZ_Dokument
DS,ES
Nom,Name
DEI,UID
DistancesParRapportALaForet_V1_2.MultilingualBlob,Waldabstandslinien_V1_2.MultilingualBlob
DS_I,ES_I
DistancesParRapportALaForet_V1_2,Waldabstandslinien_V1_2
DS_IV,ES_IV
Etat_Construction,Stand_Ueberbauung
DegreDeSensibiliteAuBruit_V1_2.ForceObligatoire,Laermempfindlichkeitsstufen_V1_2.Verbindlichkeit
ContenuPonctuel,Objektbezogene_Festlegung
Zones_reservees_V1_1.MultilingualUri,Planungszonen_V1_1.MultilingualUri
Type_ZoneReservee,Typ_Planungszone
construit,ueberbaut
Etat_Equipement,Stand_Erschliessung
LimitesDeLaForet_V1_2.ForceObligatoire,Waldgrenzen_V1_2.Verbindlichkeit
ModificationSansEffetAnticipe,AenderungOhneVorwirkung
TexteSurInternet,TextImWeb
PlansDAffectation_V1_2,Nutzungsplanung_V1_2
Zones_reservees_V1_1.SurfaceUnique,Planungszonen_V1_1.Einzelflaeche
DispositionsJuridiques,Rechtsvorschriften
DegreDeSensibiliteAuBruit_V1_2.SurfacePartition,Laermempfindlichkeitsstufen_V1_2.Gebietseinteilung
